category,tag,color,related_tags
和名,コアラ,#a4a8bd,
和名,ヤブイヌ,#93632c,
個体名,ふく,#6fdfa5,和名=コアラ;場所=埼玉県こども動物自然公園;性別=メス
個体名,コハル,#ffaa00,和名=コアラ;場所=埼玉県こども動物自然公園;性別=メス
個体名,ミラ,#95e6ff,和名=コアラ;場所=埼玉県こども動物自然公園;性別=メス
個体名,さち,#ff93e6,和名=コアラ;場所=埼玉県こども動物自然公園;性別=メス
個体名,ポル,#aaffff,和名=コアラ;場所=埼玉県こども動物自然公園;性別=メス
個体名,ヒヨリ,#ffff7f,和名=コアラ;場所=埼玉県こども動物自然公園;性別=メス
個体名,ソラ,#55ffff,和名=コアラ;場所=埼玉県こども動物自然公園;性別=オス
個体名,アサヒ,#ffaa7f,和名=コアラ;場所=埼玉県こども動物自然公園;性別=オス
場所,埼玉県こども動物自然公園,#ffff7f,
場所,多摩動物公園,#55ff7f,
場所,金沢動物園,#ffaaff,
場所,東山動植物園,#aaffff,
場所,王子動物園,#ff9bb2,
場所,淡路ファームパークイングランドの丘,#ffd6bb,
場所,平川動物公園,#8fa7ff,
性別,オス,#0000ff,
性別,メス,#ff00ff,
